label	Phylum	Abundance
BACasv806	Verrucomicrobia	4.73E-05
BACasv807	Planctomycetes	0.000175314
BACasv808	Acidobacteria	4.73E-05
BACasv809	Chloroflexi	0.000144817
BACasv810	Proteobacteria	4.73E-05
BACasv811	Actinobacteria	0.000102661
BACasv812	Proteobacteria	0.000111382
BACasv813	Proteobacteria	4.73E-05
BACasv814	Actinobacteria	4.73E-05
BACasv815	Acidobacteria	4.73E-05
BACasv816	Proteobacteria	4.73E-05
BACasv817	Proteobacteria	7.13E-05
BACasv818	Proteobacteria	5.25E-05
BACasv819	Acidobacteria	5.25E-05
BACasv820	Proteobacteria	5.25E-05
BACasv821	Acidobacteria	0.000109529
BACasv822	Gemmatimonadetes	5.25E-05
BACasv823	Dependentiae	0.000250747
BACasv824	Proteobacteria	3.10E-05
BACasv825	Cyanobacteria	0.000154482
BACasv826	Chloroflexi	8.13E-05
BACasv827	Proteobacteria	8.13E-05
BACasv828	Proteobacteria	8.13E-05
BACasv829	Acidobacteria	7.21E-05
BACasv833	Bacteroidetes	4.28E-05
BACasv836	Proteobacteria	5.54E-05
BACasv837	Nitrospirae	5.54E-05
BACasv838	Proteobacteria	6.96E-05
BACasv839	Proteobacteria	8.69E-05
BACasv840	Verrucomicrobia	8.62E-05
BACasv841	Proteobacteria	9.79E-05
BACasv842	Chloroflexi	5.54E-05
BACasv843	Proteobacteria	5.54E-05
BACasv844	Bacteroidetes	5.54E-05
BACasv845	Actinobacteria	5.54E-05
BACasv846	Proteobacteria	5.54E-05
BACasv847	Acidobacteria	4.25E-05
BACasv848	Verrucomicrobia	4.25E-05
BACasv849	Proteobacteria	4.25E-05
BACasv850	Proteobacteria	9.95E-05
BACasv851	Verrucomicrobia	6.41E-05
BACasv852	Proteobacteria	0.000149368
BACasv853	Planctomycetes	6.41E-05
BACasv854	Proteobacteria	6.41E-05
BACasv855	Proteobacteria	6.41E-05
BACasv856	Elusimicrobia	4.73E-05
BACasv857	Proteobacteria	4.73E-05
BACasv858	Acidobacteria	4.73E-05
BACasv859	Patescibacteria	2.79E-05
BACasv860	Chloroflexi	6.49E-05
BACasv861	Chloroflexi	9.79E-05
BACasv862	Proteobacteria	6.49E-05
BACasv863	Actinobacteria	6.49E-05
BACasv864	Actinobacteria	6.49E-05
BACasv870	Dependentiae	1.42E-05
BACasv873	Gemmatimonadetes	0.000105094
BACasv874	Proteobacteria	8.23E-05
BACasv875	Acidobacteria	3.78E-05
BACasv876	WS2	0.000115447
BACasv877	Proteobacteria	3.78E-05
BACasv878	Acidobacteria	7.34E-05
BACasv879	Proteobacteria	3.78E-05
BACasv880	Bacteroidetes	5.70E-05
BACasv881	Proteobacteria	5.70E-05
BACasv882	Planctomycetes	0.000120865
BACasv883	Proteobacteria	5.70E-05
BACasv884	Bacteroidetes	0.000130713
BACasv885	Proteobacteria	4.20E-05
BACasv886	Bacteroidetes	4.20E-05
BACasv887	Proteobacteria	8.46E-05
BACasv888	Proteobacteria	4.20E-05
BACasv889	Firmicutes	5.30E-05
BACasv890	Cyanobacteria	7.77E-05
BACasv891	Chloroflexi	6.50E-05
BACasv892	Proteobacteria	6.50E-05
BACasv893	Firmicutes	6.50E-05
BACasv894	Proteobacteria	5.77E-05
BACasv895	Bacteroidetes	5.77E-05
BACasv896	Actinobacteria	5.77E-05
BACasv904	Actinobacteria	4.31E-05
BACasv905	Proteobacteria	4.31E-05
BACasv906	Acidobacteria	8.62E-05
BACasv907	Proteobacteria	4.31E-05
BACasv908	Proteobacteria	3.31E-05
BACasv909	Chloroflexi	3.31E-05
BACasv910	Proteobacteria	3.31E-05
BACasv911	Nitrospirae	3.31E-05
BACasv912	Proteobacteria	8.14E-05
BACasv913	Bacteroidetes	3.68E-05
BACasv914	Planctomycetes	5.52E-05
BACasv915	Latescibacteria	6.53E-05
BACasv916	Proteobacteria	3.68E-05
BACasv917	Firmicutes	3.68E-05
BACasv918	Bacteroidetes	2.17E-05
BACasv919	Planctomycetes	2.17E-05
BACasv920	Firmicutes	2.17E-05
BACasv921	Cyanobacteria	5.69E-05
BACasv922	Firmicutes	5.04E-05
BACasv923	Chloroflexi	5.04E-05
BACasv924	Bacteroidetes	5.04E-05
BACasv938	Bacteroidetes	3.69E-05
BACasv939	Firmicutes	3.69E-05
BACasv940	Acidobacteria	3.69E-05
BACasv941	Acidobacteria	3.69E-05
BACasv942	Gemmatimonadetes	3.69E-05
BACasv943	Rokubacteria	3.69E-05
BACasv944	Proteobacteria	3.69E-05
BACasv945	Acidobacteria	6.87E-05
BACasv946	Chlamydiae	2.84E-05
BACasv947	Proteobacteria	2.84E-05
BACasv948	Chloroflexi	2.84E-05
BACasv949	Planctomycetes	2.84E-05
BACasv950	Actinobacteria	5.69E-05
BACasv951	Armatimonadetes	4.28E-05
BACasv952	Actinobacteria	4.28E-05
BACasv953	Planctomycetes	5.29E-05
BACasv954	Bacteroidetes	3.15E-05
BACasv955	Chlamydiae	3.15E-05
BACasv956	Proteobacteria	6.23E-05
BACasv957	Proteobacteria	1.86E-05
BACasv958	Firmicutes	1.86E-05
BACasv959	Gemmatimonadetes	4.88E-05
BACasv960	Actinobacteria	4.32E-05
BACasv961	Actinobacteria	4.32E-05
BACasv973	Bacteroidetes	3.08E-05
BACasv974	Proteobacteria	4.97E-05
BACasv975	Actinobacteria	3.08E-05
BACasv976	Chloroflexi	4.13E-05
BACasv977	Proteobacteria	4.83E-05
BACasv978	Planctomycetes	2.36E-05
BACasv979	Gemmatimonadetes	2.36E-05
BACasv980	Bacteroidetes	2.36E-05
BACasv982	Proteobacteria	3.56E-05
BACasv983	Proteobacteria	2.63E-05
BACasv984	Armatimonadetes	2.63E-05
BACasv985	Proteobacteria	5.48E-05
BACasv986	Cyanobacteria	3.31E-05
BACasv987	Bacteroidetes	1.55E-05
BACasv988	Dependentiae	1.55E-05
BACasv989	Proteobacteria	4.07E-05
BACasv990	Actinobacteria	4.07E-05
BACasv991	Cyanobacteria	4.07E-05
BACasv992	Chloroflexi	3.60E-05
BACasv998	Verrucomicrobia	3.89E-05
BACasv999	Bacteroidetes	2.46E-05
BACasv1000	Proteobacteria	1.89E-05
BACasv1001	Proteobacteria	1.89E-05
BACasv1002	Bacteroidetes	1.89E-05
BACasv1003	Gemmatimonadetes	3.47E-05
BACasv1004	Proteobacteria	1.89E-05
BACasv1005	Patescibacteria	6.23E-05
BACasv1006	Acidobacteria	2.85E-05
BACasv1007	Proteobacteria	2.10E-05
BACasv1008	Acidobacteria	2.10E-05
BACasv1009	Chloroflexi	3.52E-05
BACasv1011	Chloroflexi	3.25E-05
BACasv1012	Chloroflexi	3.25E-05
BACasv1013	Cyanobacteria	3.25E-05
BACasv1014	Actinobacteria	3.25E-05
BACasv1020	Bacteroidetes	1.85E-05
BACasv1021	Chloroflexi	3.26E-05
BACasv1022	Planctomycetes	1.42E-05
BACasv1023	Planctomycetes	2.84E-05
BACasv1024	Chlamydiae	3.56E-05
BACasv1025	Proteobacteria	3.00E-05
BACasv1026	Proteobacteria	1.58E-05
BACasv1027	Chlamydiae	1.58E-05
BACasv1029	Chloroflexi	2.44E-05
BACasv1030	Cyanobacteria	2.16E-05
BACasv1041	Chloroflexi	1.43E-05
BACasv1042	Bacteroidetes	1.43E-05
BACasv1045	Cyanobacteria	1.63E-05
BACasv1046	Bacteroidetes	1.44E-05
